"State","Year","Overdose_Rate","AVG_AGE","bachelors_percent","median_income","PDMP","poverty_rate","unemp_rate","WHITE_PCT"
"Alabama",2020,12.8,39.6635282569617,19.9173496134105,57243,1,14.9,5.80699706643352,65.1374469469066
"Alaska",2000,4.3,31.2617178978722,15.0772445533528,83377,0,7.6,7.03417129863568,69.798109521771
"Alaska",2006,4.3,34.0626353437713,17.0811861151282,75999,0,8.9,8.47352058667418,69.3534690539405
"Alaska",2008,13.7,33.8542109565448,17.4941315152566,80720,0,8.2,7.30475216984946,68.9687932122286
"Alaska",2009,13.4,33.9432232885165,17.285707536297,77982,0,11.7,9.11242851456941,68.5071577569928
"Alaska",2010,10,34.3723999803917,18.3159310069539,72039,0,12.5,8.93749697014541,67.6921784071094
"Alaska",2011,10,34.6390791429022,16.9346826839791,69334,1,11.7,7.78869871160805,66.9564062331366
"Alaska",2012,11.1,34.9282410667046,18.7664485152075,75246,1,10,8.02943196012902,66.159909986889
"Alaska",2013,9.4,34.7276584341316,18.7853337903941,84427,1,10.9,8.40350533633604,66.3420991060109
"Alaska",2014,10.7,34.8970466872621,19.559758501056,77473,1,11.9,6.68732061370774,66.0500697675681
"Alaska",2015,12.5,34.825539792425,18.6405789564916,85898,1,9.2,6.87934082427185,65.6111869474779
"Alaska",2016,13.6,35.1056188619938,19.7547088937234,85494,1,12.6,7.77210794622286,64.7809525349983
"Alaska",2017,14.7,35.5914030238106,19.4607965720233,86196,1,14.4,6.81995632729442,63.8259247494238
"Alaska",2018,11.1,36.0610925935468,20.356965602532,74161,1,13.1,6.91239879086087,64.1888538426281
"Alaska",2019,13.7,36.4039232036307,20.9786137558182,83079,1,10.2,5.57066275102477,65.1545701221388
"Alaska",2020,16.8,36.6901200494094,21.5763584828666,78236,1,13.4,8.44567373863057,58.4253785664656
"Arizona",2000,4.9,35.5800013432073,15.3644906169691,62766,0,11.7,6.67957568331224,78.7531921401337
"Arizona",2001,5.2,34.9870699367831,15.0076474546555,65509,0,14.6,6.80968879133714,75.7680058586757
"Arizona",2002,6.3,35.0284591242878,15.0811375349869,60007,0,13.5,7.91133431316168,74.9126693593809
"Arizona",2003,6.4,35.0966433139222,15.7903422258093,60789,0,13.5,7.4795074516444,76.5669662397018
"Arizona",2004,6.4,35.2376495230427,16.1449503356038,63043,0,14.4,6.55951461460437,77.1744013535887
"Arizona",2005,6.7,35.5769062251023,16.8949889653695,62924,0,15.2,6.20890121094213,76.3857701317852
"Arizona",2006,7.9,35.9139449181829,17.0506937851729,62850,0,14.4,4.97082802186141,77.0331014391408
"Arizona",2007,7.9,36.0975144172633,16.91855892837,61848,0,14.3,5.82398412632797,76.3066722092903
"Arizona",2008,8.2,36.0956170444511,16.7933964905587,59180,1,18,6.17136919081124,79.9898464350218
"Arizona",2009,9.9,36.144993054648,16.9804380923676,57899,1,21.2,10.715434282463,79.9761908299521
"Arizona",2010,10.2,36.8297017791656,17.4078232394001,58400,1,18.8,11.7830776001464,79.5113675537366
"Arizona",2011,9.2,37.1452527996508,17.7474140012233,58698,1,17.2,11.1141672601452,79.3068883093804
"Arizona",2012,8.6,37.4865035772299,18.6901928888774,55616,1,19,9.82764789163853,78.8689132347208
"Arizona",2013,8.2,37.7419776646449,18.7801661902048,61290,1,20.2,8.71500022248632,79.0699909939058
"Arizona",2014,9.2,37.9969185100938,18.7482581849708,56424,1,21.2,7.95519818036632,78.5477021114512
"Arizona",2015,10.3,38.3191246714845,19.273688812277,59751,1,17.2,6.90737353638576,77.5253164696001
"Arizona",2016,11.6,38.5478682875994,19.9515053301286,64468,1,16.1,6.60100084936015,75.7683913496197
"Arizona",2017,13.8,38.6895140865446,20.2737066846059,65984,1,13.2,5.59099742244302,77.4324106683466
"Arizona",2018,16.2,38.9978384320698,20.81989267178,67201,1,12.8,5.33695202952678,77.932220859758
"Arizona",2019,18.2,39.2382775700718,21.4439989904814,74897,1,9.9,4.94924812083816,78.3419797747323
"Arizona",2020,26.3,39.5666231761401,23.7042905873345,70220,1,10.9,6.57979207996662,60.6165635727006
"Arkansas",2000,0.7,36.2955584525772,10.9918855413868,46853,0,16.5,6.184808569443,80.5723705492998
