"State","Year","median_income"
"Oklahoma",2014,54.069
"Oklahoma",2013,53.777
"Oklahoma",2012,57.228
"Oklahoma",2011,58.498
"Oklahoma",2010,53.677
"Oklahoma",2009,58.075
"Oklahoma",2008,58.167
"Oklahoma",2007,56.609
"Oklahoma",2006,52.317
"Oklahoma",2005,52.354
"Oklahoma",2004,56.959
"Oklahoma",2003,53.016
"Oklahoma",2002,55.06
"Oklahoma",2001,54.625
"Oklahoma",2000,51.168
"Oregon",2020,80.443
"Oregon",2019,78.86
"Oregon",2018,74.626
"Oregon",2017,69.077
"Oregon",2016,66.765
"Oregon",2015,69.569
"Oregon",2014,67.445
"Oregon",2013,57.082
"Oregon",2012,61.21
"Oregon",2011,62.205
"Oregon",2010,63.016
"Oregon",2009,62.151
"Oregon",2008,65.252
"Oregon",2007,65.805
"Oregon",2006,63.435
"Oregon",2005,61.413
"Oregon",2004,58.943
"Oregon",2003,61.486
"Oregon",2002,63.13
"Oregon",2001,63.314
"Oregon",2000,67.051
"Pennsylvania",2020,74.094
"Pennsylvania",2019,74.8
"Pennsylvania",2018,69.619
"Pennsylvania",2017,67.736
"Pennsylvania",2016,68.847
"Pennsylvania",2015,69.061
"Pennsylvania",2014,63.204
"Pennsylvania",2013,64.255
"Pennsylvania",2012,61.362
"Pennsylvania",2011,60.254
"Pennsylvania",2010,60.166
"Pennsylvania",2009,60.979
"Pennsylvania",2008,64.842
"Pennsylvania",2007,63.448
"Pennsylvania",2006,65.302
"Pennsylvania",2005,64.391
"Pennsylvania",2004,63.417
"Pennsylvania",2003,63.398
"Pennsylvania",2002,64.181
"Pennsylvania",2001,66.729
"Pennsylvania",2000,66.541
"Rhode Island",2020,83.918
"Rhode Island",2019,74.344
"Rhode Island",2018,67.183
"Rhode Island",2017,72.285
"Rhode Island",2016,69.467
"Rhode Island",2015,63.699
"Rhode Island",2014,67.168
"Rhode Island",2013,65.614
"Rhode Island",2012,66.281
"Rhode Island",2011,59.196
"Rhode Island",2010,64.287
"Rhode Island",2009,65.362
"Rhode Island",2008,67.161
"Rhode Island",2007,71.01
"Rhode Island",2006,72.386
"Rhode Island",2005,68.819
"Rhode Island",2004,68.923
"Rhode Island",2003,66.024
"Rhode Island",2002,64.059
"Rhode Island",2001,70.14
"Rhode Island",2000,66.574
"South Carolina",2020,63.159
"South Carolina",2019,65.735
"South Carolina",2018,61.98
"South Carolina",2017,60.278
"South Carolina",2016,61.347
"South Carolina",2015,53.017
"South Carolina",2014,51.469
"South Carolina",2013,50.749
"South Carolina",2012,52.492
"South Carolina",2011,48.392
"South Carolina",2010,51.927
"South Carolina",2009,52.028
"South Carolina",2008,53.177
"South Carolina",2007,57.915
"South Carolina",2006,53.367
"South Carolina",2005,55.949
"South Carolina",2004,55.631
"South Carolina",2003,56.821
"South Carolina",2002,57.104
"South Carolina",2001,57.888
"South Carolina",2000,59.274
"South Dakota",2020,73.467
"South Dakota",2019,68.095
"South Dakota",2018,64.158
"South Dakota",2017,62.905
"South Dakota",2016,64.863
"South Dakota",2015,62.972
"South Dakota",2014,60.776
"South Dakota",2013,62.224
"South Dakota",2012,58.42
"South Dakota",2011,57.011
"South Dakota",2010,56.478
"South Dakota",2009,58.009
"South Dakota",2008,65.091
"South Dakota",2007,60.804
"South Dakota",2006,61.193
"South Dakota",2005,60.011
"South Dakota",2004,59.105
"South Dakota",2003,58.362
"South Dakota",2002,57.197
"South Dakota",2001,60.856
"South Dakota",2000,57.547
"Tennessee",2020,57.542
