"Year","State","AVG_AGE"
2019,"Ohio",39.7815463123765
2020,"Ohio",39.9657510407521
2014,"Oklahoma",37.4087383069485
2015,"Oklahoma",37.5196505645894
2016,"Oklahoma",37.5897239777845
2017,"Oklahoma",37.7468770224561
2018,"Oklahoma",37.8772114380665
2019,"Oklahoma",38.055173768016
2020,"Oklahoma",38.2433460114028
2014,"Oregon",39.338565763925
2015,"Oregon",39.540092931779
2016,"Oregon",39.6418242247094
2017,"Oregon",39.7019471967589
2018,"Oregon",39.9792457751223
2019,"Oregon",40.2219429518721
2020,"Oregon",40.442324923484
2014,"Pennsylvania",40.0690087258291
2015,"Pennsylvania",40.2111885464897
2016,"Pennsylvania",40.3678319385286
2017,"Pennsylvania",40.5272539527237
2018,"Pennsylvania",40.6573235387357
2019,"Pennsylvania",40.8690127760616
2020,"Pennsylvania",40.984476208575
2014,"Rhode Island",39.8087820670165
2015,"Rhode Island",39.7390764727378
2016,"Rhode Island",40.0625552570649
2017,"Rhode Island",40.020482447324
2018,"Rhode Island",40.4165031234779
2019,"Rhode Island",40.7035269374651
2020,"Rhode Island",40.8412653370342
2014,"South Carolina",38.7569114587494
2015,"South Carolina",39.0351707240756
2016,"South Carolina",39.2349548559508
2017,"South Carolina",39.4806066194581
2018,"South Carolina",39.6908780996226
2019,"South Carolina",39.9886464853165
2020,"South Carolina",40.1740438998425
2014,"South Dakota",37.7590341957981
2015,"South Dakota",38.1561197899982
2016,"South Dakota",37.9781906375151
2017,"South Dakota",38.3272072266824
2018,"South Dakota",38.3104184259296
2019,"South Dakota",38.7502077071504
2020,"South Dakota",38.2972559677753
2014,"Tennessee",38.4987435398189
2015,"Tennessee",38.695774539911
2016,"Tennessee",38.8123887229872
2017,"Tennessee",38.915087945415
2018,"Tennessee",39.1247244834203
2019,"Tennessee",39.2405033170922
2020,"Tennessee",39.411347761002
2014,"Texas",35.4179464908466
2015,"Texas",35.551677676972
2016,"Texas",35.6722648528515
2017,"Texas",35.8426577789699
2018,"Texas",36.013244061488
2019,"Texas",36.2449818303503
2020,"Texas",36.4354198376128
2014,"Utah",32.7298693602437
2015,"Utah",32.9228891034771
2016,"Utah",33.0185086803069
2017,"Utah",33.3366419146356
2018,"Utah",33.5520813133382
2019,"Utah",33.738276671123
2020,"Utah",33.843035129718
2014,"Vermont",40.8453289538785
2015,"Vermont",41.3196015602787
2016,"Vermont",41.3161237539906
2017,"Vermont",41.5650525849946
2018,"Vermont",41.929433066315
2019,"Vermont",42.0087854112813
2020,"Vermont",41.3912829679747
2014,"Virginia",37.9725947537973
2015,"Virginia",38.1467608287398
