"state","year","methadone_rate","avg_age","bachelors_pct","median_income","PDMP","unemp_rate","white_pct","personal_health_care"
"North Carolina",2005,3.4691083369221,36.2528631061643,17.4733932816808,58.488,0,7.10417168937432,71.3227714212736,5.542
"North Carolina",2004,3.18011418480579,36.0934628032698,17.0038602045846,57.856,0,7.54652708108346,72.6032245598201,5.243
"North Carolina",2003,3.02760427098792,35.9168150328951,16.6058389680585,55.049,0,8.42603772790594,71.9014576552309,4.896
"North Carolina",2002,2.30597363671619,35.8396815228016,16.186810458596,55.146,0,8.36822580508777,71.8915498927687,4.574
"North Carolina",2001,1.32762947980554,35.5858982520943,15.7003662218636,58.541,0,6.51344006565073,72.4766683265363,4.35
"North Carolina",2000,1.13053126397247,35.6420815077758,15.7672988421666,60.453,0,4.858565699179,72.9116391645941,3.95
"Ohio",2020,0.744021085044432,39.9657510407521,22.2534193515734,63.198,1,6.33752313227885,78.080173630107,10.478
"Ohio",2019,0.710063221291631,39.7815463123765,21.1876021250567,68.527,1,4.61572375737365,80.9119778254956,10.173
"Ohio",2018,0.624495164097653,39.648442500506,20.8260069214596,66.5,1,4.97699685458797,81.0173317083912,9.627
"Ohio",2017,0.952086136519374,39.4711291029659,20.154376907228,67.076,1,5.10223145769113,81.2962078066088,9.4
"Ohio",2016,0.861002139332016,39.3522673156786,19.863000783598,60.951,1,5.63268830190728,81.6098380859647,9.062
"Ohio",2015,0.973012005159891,39.216117676933,19.0985896234039,60.955,1,6.38728439808501,81.9735060024938,8.754
"Ohio",2014,0.940128235216289,39.0551361922374,18.8658637971538,56.87,1,7.19134933462513,82.0906347443968,8.401
"Ohio",2013,1.08030484992924,38.8908945684692,18.4830221018273,59.12,1,7.97835422814316,82.4774639765866,8.03
"Ohio",2012,1.20406523608124,38.7744259142558,17.8630527384905,52.461,1,9.01151219082555,82.6154116019049,7.854
"Ohio",2011,1.48116696207719,38.5250534194558,17.4530580510909,53.902,1,10.5640277338377,82.8505292053643,7.488
"Ohio",2010,1.56026470410793,38.328761890199,17.282910411781,57.143,1,11.4261996526754,82.9274624828214,7.397
"Ohio",2009,1.13627532072455,38.0813077072023,16.9872936402358,58.077,1,11.0904265126412,83.9260152244135,7.242
"Ohio",2008,1.63259762521307,37.8389721841804,16.9074283186966,59.205,1,7.07887081901109,84.0000400490688,6.816
"Ohio",2007,1.73905966261547,37.6982473144264,16.9612111084435,64.315,1,7.14952780852847,83.9694052028108,6.674
"Ohio",2006,1.60261812057663,37.4288964476931,15.9300317494171,61.83,1,7.15679683031462,84.0420975559692,6.397
"Ohio",2005,1.43065010834558,37.225848977889,16.2537670295755,61.474,0,7.37385463095177,84.2485454488361,6.113
"Ohio",2004,1.30105426435379,37.0275694665292,16.3501070643687,61.906,0,7.85337464986396,84.5520835505754,5.771
"Ohio",2003,0.673383712929352,36.7413056796724,15.8516903551749,64.265,0,7.91443569904747,84.9020928891356,5.419
"Ohio",2002,0.569781140051415,36.522215681522,15.0147426863706,64.462,0,7.61351446081295,84.9796389941624,5.037
"Ohio",2001,0.342483677579192,36.8059698242112,15.0697853634583,64.099,0,5.96454186491584,85.3635035195629,4.637
"Ohio",2000,0.18497085387831,36.1858480551128,14.5353733025502,67.781,0,5.02339414343835,86.2326778400579,4.208
"Oklahoma",2020,0.45217234900772,38.2433460114028,18.8274076053433,54.921,1,5.72322744473738,67.0282621888025,9.444
"Oklahoma",2019,0.505437113387993,38.055173768016,18.105439741661,62.946,1,4.43269016260265,72.3315384419042,8.923
"Oklahoma",2018,0.532578728450533,37.8772114380665,17.7657358627611,58.732,1,4.32259374562717,71.9001318512766,8.625
"Oklahoma",2017,0.788630692896015,37.7468770224561,17.43893963261,57.343,1,5.43248883282345,72.1257972801908,8.382
"Oklahoma",2016,1.19789140528209,37.5897239777845,17.4089812800158,57.516,1,5.88067300331649,72.3812883245603,8.132
"Oklahoma",2015,1.58513531686599,37.5196505645894,17.2501583856982,53.837,1,5.44521697485927,72.6092196583369,7.902
"Oklahoma",2014,1.72767196718145,37.4087383069485,16.5811383089083,54.069,1,5.52516649965997,72.914126193802,7.658
"Oklahoma",2013,1.76597322784587,37.2033837605257,16.3688837594869,53.777,1,6.22418093220135,73.2476870944754,7.316
"Oklahoma",2012,2.01844385842582,37.2611051111193,16.3234176186557,57.228,1,6.38464922597113,73.4492059913705,7.212
"Oklahoma",2011,2.00447948415248,37.1354714271999,16.1431546498122,58.498,1,7.46512252686142,73.4860113706736,6.937
"Oklahoma",2010,2.71902042757396,36.9987915044839,15.2941673742364,53.677,1,7.99939422790384,73.3735154991012,6.664
"Oklahoma",2009,3.12031616334532,36.7487202506069,15.1464992338048,58.075,1,6.63774089742199,75.4501566292836,6.514
"Oklahoma",2008,3.18890066329134,36.8598348708434,15.1880881658902,58.167,1,4.57165548335575,75.6679252825297,6.372
"Oklahoma",2007,5.00777443222982,36.6162582975886,15.2304360470581,56.609,1,5.37767169385475,75.2491349940121,6.039
"Oklahoma",2006,4.28481201082889,36.893398602821,14.8765147188823,52.317,1,5.74712643678161,75.1006646155634,5.688
"Oklahoma",2005,3.15617693415172,36.8377439595752,15.5532374297881,52.354,1,6.56724197710703,75.7418860900986,5.366
"Oklahoma",2004,3.77280026596824,36.621852985257,15.258182252985,56.959,1,7.04971121105693,75.3333770978389,4.961
"Oklahoma",2003,2.68196566399193,36.2164997347499,14.6128673095866,53.016,1,7.15825435711637,76.1089721661072,4.755
"Oklahoma",2002,1.28973826911392,36.2908509061211,13.9449891478511,55.06,1,6.47198077301009,76.5363077246291,4.358
"Oklahoma",2001,1.29791468374146,36.2130189445762,13.7449741013126,54.625,1,4.94463909608597,75.9455261286988,4.093
"Oklahoma",2000,1.15920054575162,36.1413128261665,13.9813758992752,51.168,1,6.20316490708074,74.884665200325,3.754
"Oregon",2020,0.801601883481508,40.442324923484,27.1476942742713,80.443,1,7.25238781804523,76.2127038566215,10.071
"Oregon",2019,0.687572506298994,40.2219429518721,25.2319193918445,78.86,1,4.89558183249448,83.3050519745541,9.635
"Oregon",2018,0.811317787689112,39.9792457751223,25.0539228050215,74.626,1,4.65924624829948,83.7588973523121,9.168
"Oregon",2017,0.917259344941653,39.7019471967589,24.3633495993991,69.077,1,5.11119138969366,84.6641237662862,8.827
"Oregon",2016,1.1481715368276,39.6418242247094,23.6253882713056,66.765,1,5.79575638640316,84.3184685834617,8.699
"Oregon",2015,1.76223393680331,39.540092931779,23.2600235742224,69.569,1,7.01581792691809,85.1189272115477,8.438
"Oregon",2014,1.53643143397664,39.338565763925,21.7900484076651,67.445,1,7.61975950733081,84.7369641978732,7.899
"Oregon",2013,1.75569615260816,39.1267765291414,21.5762080270937,57.082,1,9.21459426925802,85.7763930113115,7.378
"Oregon",2012,2.20549409094278,38.9055068879376,21.4034738583555,61.21,1,11.0985133503232,85.3791385391371,7.159
"Oregon",2011,2.71187561323902,38.6403195467604,20.6955883465798,62.205,1,11.9412958319796,84.9077665276551,6.987
"Oregon",2010,2.7407458065284,38.4427371809583,20.3756905847083,63.016,0,12.6281241386236,85.3127034243937,6.75
"Oregon",2009,3.04573859160847,38.0481590482367,20.388628672147,62.151,0,11.3769674392894,85.4594387317002,6.502
"Oregon",2008,3.66169348547581,37.9156480372342,19.8053592819111,65.252,0,6.68831693307873,86.8220028178973,6.232
"Oregon",2007,3.73413295716197,37.8808914316516,20.0797874824381,65.805,0,6.53108954749975,85.8481022453905,6.003
"Oregon",2006,4.11345172265093,37.7099569871902,19.2298442643372,63.435,0,6.2934520574307,86.1042251344184,5.76
"Oregon",2005,3.54256418545102,37.3637035576741,19.0590526835466,61.413,0,7.35707437145205,86.7804461878132,5.395
"Oregon",2004,2.80154185657619,37.252239978279,19.2000419817676,58.943,0,7.98396481017707,87.6247902337632,5.023
"Oregon",2003,2.64984597065549,37.1246004613006,17.9870530828191,61.486,0,8.17087623118431,87.8674107713627,4.675
"Oregon",2002,2.3623678781724,36.692990007852,17.8824833025067,63.13,0,8.68932561560219,86.8452196738264,4.396
"Oregon",2001,1.52828612515164,36.538505685537,17.2949733399581,63.314,0,7.22281135182712,88.0307468029649,4.139
"Oregon",2000,0.935289920877396,36.4027923643902,16.7556466581392,67.051,0,6.62653309836667,90.3705807531421,3.734
"Pennsylvania",2020,1.21252382218174,40.984476208575,25.3379094251741,74.094,1,6.80321565519106,75.7669453618819,11.603
"Pennsylvania",2019,1.05452363691298,40.8690127760616,24.1030202416203,74.8,1,4.70243952467516,79.6497091194189,11.175
"Pennsylvania",2018,0.929175001913007,40.6573235387357,23.5493704253748,69.619,1,4.85773143818936,80.0941277701518,10.91
"Pennsylvania",2017,0.523211170292976,40.5272539527237,23.3643227925545,67.736,1,5.33332658114094,80.696077017309,10.342
"Pennsylvania",2016,0.9073681185417,40.3678319385286,22.7170559471449,68.847,1,5.77145035599465,80.8559093952259,9.98
"Pennsylvania",2015,0.71079850557348,40.2111885464897,21.686251508787,69.061,1,6.30047117461168,81.1455228715822,9.562
"Pennsylvania",2014,0.656906444557213,40.0690087258291,21.1890178693411,63.204,1,7.0587920858509,81.4281208667192,9.142
"Pennsylvania",2013,0.6497674419697,39.9052745537526,20.8595781318341,64.255,1,8.34506386269735,81.5861700053101,8.802
"Pennsylvania",2012,0.712968569211541,39.7430022526673,20.5131634368407,61.362,1,8.9674089132398,82.0778897007851,8.577
"Pennsylvania",2011,0.698428911629595,39.5761335383523,19.6621236351012,60.254,1,9.17988226292146,82.32914427705,8.371
"Pennsylvania",2010,0.889597137670038,39.3756097541785,19.4799376535745,60.166,1,9.67920913569923,82.556541771869,8.069
"Pennsylvania",2009,0.844724082325704,39.2601585574727,19.1375056754322,60.979,1,9.10188252620542,83.5138325047976,7.655
"Pennsylvania",2008,0.88802306639915,39.1944202889411,18.9094090837778,64.842,1,5.8493095658024,83.7758456409918,7.457
"Pennsylvania",2007,0.994911069675055,38.9267405905287,18.4178340633383,63.448,1,5.91348353488828,83.7017783294372,7.239
"Pennsylvania",2006,0.79930882167572,38.8883821796356,18.3155165646474,65.302,1,6.22438448074726,83.8184685475106,6.868
"Pennsylvania",2005,0.93975979097172,38.7504069425189,18.5806564675364,64.391,1,6.57974604235343,84.6543377938418,6.572
"Pennsylvania",2004,0.781582247994919,38.5416666109798,17.8377315962584,63.417,1,6.74596920949494,84.8140063028664,6.166
"Pennsylvania",2003,0.614158387245934,38.3809896405416,17.4374973084645,63.398,1,7.19149136995294,85.1340020238672,5.791
"Pennsylvania",2002,0.316275257113537,38.2413978572242,16.9574476585821,64.181,1,7.01426734431449,85.3658905083242,5.389
"Pennsylvania",2001,0.138222956881755,38.2244606397765,16.6863293479434,66.729,1,5.55591439270272,85.7169147414445,5.056
"Pennsylvania",2000,0.162852471782959,38.1694574351788,15.9723791905526,66.541,1,5.79659698606585,86.6134542966509,4.702
"Rhode Island",2020,4.82440581766584,40.8412653370342,28.0582454940268,83.918,1,8.04634394985343,72.1897216266042,11.694
"Rhode Island",2019,2.26551666523499,40.7035269374651,25.9815114960811,74.344,1,4.01968428053225,78.4683408205512,10.988
"Rhode Island",2018,3.12111338626616,40.4165031234779,25.7385925670212,67.183,1,5.87637150581029,80.9142970637889,10.464
"Rhode Island",2017,2.83115287376172,40.020482447324,24.7158702161774,72.285,1,5.84108331739879,81.5451299923842,10.29
"Rhode Island",2016,2.74510472101217,40.0625552570649,25.3654302336368,69.467,1,5.42284461561464,81.0303797899711,10.159
"Rhode Island",2015,2.84010762114479,39.7390764727378,24.1244421555281,63.699,1,6.08715714374451,80.6535655657778,9.914
"Rhode Island",2014,2.27450854030571,39.8087820670165,22.1033896811234,67.168,1,7.5941233583548,81.2477195682604,9.484
"Rhode Island",2013,2.66283472070192,39.5850685347086,23.8471114424861,65.614,1,8.86357742228009,80.1473308410468,9.016
"Rhode Island",2012,2.66592528553964,39.2902973649233,22.6034283799172,66.281,1,9.70258204951168,81.4713432074128,8.859
"Rhode Island",2011,2.75848424144537,39.1086899863217,22.4140161437912,59.196,1,9.7297457921904,81.7513901809375,8.665
"Rhode Island",2010,2.37514571518963,38.9634832261043,21.7144116267098,64.287,1,10.7760350931756,81.1708959944381,8.46
"Rhode Island",2009,3.79634146572948,38.824043470954,21.3964179949089,65.362,1,9.26949101558313,82.0806696486642,8.343
"Rhode Island",2008,2.65402088904013,38.6382438703145,21.8017335561502,67.161,1,7.37616895221155,83.3788547261674,8.048
"Rhode Island",2007,2.74279661217329,38.0612724893934,21.2984670533695,71.01,1,5.95747113908806,82.8146624416732,7.717
"Rhode Island",2006,4.23291969869137,38.135085845955,20.3079776322815,72.386,1,5.55170679729782,82.9117374322084,7.326
"Rhode Island",2005,2.62192906558194,37.893202643223,20.7058272459459,68.819,1,5.71891842927669,83.3059449289837,6.986
"Rhode Island",2004,1.30283580825607,37.8622394170889,20.263220321658,68.923,1,6.57556310922632,83.8056242900207,6.446
"Rhode Island",2003,1.96015838079717,37.7550048399724,20.7451629200267,66.024,1,6.68311080129408,85.1592177370526,5.992
"Rhode Island",2002,1.59475419678329,37.7853083447003,19.1542761568626,64.059,1,6.05358303356491,84.7372138282164,5.564
"Rhode Island",2001,0.945946712929767,37.4213980562728,19.5065787538893,70.14,1,5.85702696073807,85.6697663566977,5.141
"Rhode Island",2000,0.945946712929767,37.4093816758959,18.587592750614,66.574,1,4.11825912799931,84.6913775152328,4.772
"South Carolina",2020,0.881557059738906,40.1740438998425,23.034320816453,63.159,1,6.09999498520636,64.1780361194245,8.766
"South Carolina",2019,0.602092095229993,39.9886464853165,21.254511320691,65.735,1,4.6840012338832,66.6559261205808,8.345
"South Carolina",2018,1.19981267187071,39.6908780996226,20.2045306893396,61.98,1,5.03814938047894,67.0729901121667,7.975
"South Carolina",2017,0.935440848393102,39.4806066194581,20.0447260143513,60.278,1,5.70078036441604,67.2793936910287,7.855
"South Carolina",2016,1.18924782896762,39.2349548559508,19.6633461120364,61.347,1,6.23642315131677,67.3243072782572,7.669
"South Carolina",2015,1.22545365273013,39.0351707240756,18.9389572941657,53.017,1,7.37159808931508,67.1484265379341,7.446
"South Carolina",2014,1.63477070375016,38.7569114587494,18.5079427093572,51.469,1,8.20879777247509,67.3159672400228,7.21
"South Carolina",2013,1.06809884061012,38.493373912712,18.1386011130428,50.749,1,9.59422710966999,67.2814099072241,6.918
"South Carolina",2012,0.804450218609347,38.202488587921,17.6559463795824,52.492,1,10.8029599078167,66.8511256904776,6.785
"South Carolina",2011,1.38911744026261,37.9665989917144,16.5524242236436,48.392,1,11.7868529442348,66.9755280249101,6.638
"South Carolina",2010,1.59987408558548,37.7369728353053,17.197764084902,51.927,1,12.8155839191527,67.1064630680593,6.507
"South Carolina",2009,1.28543889677098,37.5164880530347,16.9691719930668,52.028,1,11.6430968439804,67.4760514789612,6.338
"South Carolina",2008,1.32479693071047,37.4851415241752,16.5099558015983,53.177,1,7.56183941492266,67.3032724675209,6.158
"South Carolina",2007,1.39510498164987,37.2667322184836,16.4751348149345,57.915,0,6.73642813483266,67.335048661334,5.915
"South Carolina",2006,1.7210333451358,37.1729904941835,15.7928645167173,53.367,0,7.09652282748783,67.3102614545008,5.675
"South Carolina",2005,1.45193962741356,36.7287068271458,16.0709029020997,55.949,0,7.69826187583063,67.2825036445542,5.408
"South Carolina",2004,0.997406505607681,36.6016823824005,16.8629634975583,55.631,0,7.39147812949233,67.9643128617447,5.128
"South Carolina",2003,0.481893223545207,36.4337148592023,16.1887094919289,56.821,0,8.35671849763597,66.8884757167986,4.836
"South Carolina",2002,0.340815449651212,36.3680796012185,15.8505037514801,57.104,0,7.78636524871074,67.093347539804,4.547
