"Year","State","unemp_rate"
2019,"Kentucky",4.70189968297658
2019,"Louisiana",5.41347167393506
2019,"Maine",3.34405254452076
2019,"Maryland",4.70467287899827
2019,"Massachusetts",3.95419470798258
2019,"Michigan",5.06345688819992
2019,"Minnesota",3.07840267533607
2019,"Mississippi",6.55603516286195
2019,"Missouri",3.84317954328016
2019,"Montana",4.06786378519498
2019,"Nebraska",3.24789476801844
2019,"Nevada",5.10883278840737
2019,"New Hampshire",2.9717144802049
2019,"New Jersey",4.53778968119232
2019,"New Mexico",5.0746161792834
2019,"New York",4.49232505529448
2019,"North Carolina",4.48269408748549
2019,"North Dakota",2.15553143103142
2019,"Ohio",4.61572375737365
2019,"Oklahoma",4.43269016260265
2019,"Oregon",4.89558183249448
2019,"Pennsylvania",4.70243952467516
2019,"Rhode Island",4.01968428053225
2019,"South Carolina",4.6840012338832
2019,"South Dakota",3.3120119798909
2019,"Tennessee",4.62922666017891
2019,"Texas",4.35086555258038
2019,"Utah",3.01779245685063
2019,"Vermont",3.58349340928661
2019,"Virginia",3.87631085446222
2019,"Washington",4.51501285575449
2019,"West Virginia",5.5737098231931
2019,"Wisconsin",3.17076079677935
2019,"Wyoming",3.87051155927201
2020,"Alabama",5.80699706643352
2020,"Alaska",8.44567373863057
2020,"Arizona",6.57979207996662
2020,"Arkansas",6.2489021893533
2020,"California",8.06885631829852
2020,"Colorado",6.38933177902188
2020,"Connecticut",7.16543497901922
2020,"Delaware",6.72315227810213
2020,"District of Columbia",9.54137013873913
2020,"Florida",6.3425245645727
2020,"Georgia",6.70789954721858
2020,"Hawaii",6.90054239653085
2020,"Idaho",4.84410854508326
2020,"Illinois",7.46070926101804
2020,"Indiana",5.43472205925404
2020,"Iowa",4.63835653794295
2020,"Kansas",4.86976262387732
2020,"Kentucky",5.73958333333333
2020,"Louisiana",8.62007135694929
2020,"Maine",4.97983565916735
2020,"Maryland",5.98632110894914
2020,"Massachusetts",6.86594222160788
2020,"Michigan",7.77988424893342
2020,"Minnesota",5.43556291077841
2020,"Mississippi",7.86321454694315
2020,"Missouri",5.14055103802372
2020,"Montana",5.32284664137436
2020,"Nebraska",3.93854897855389
2020,"Nevada",9.31141525928451
2020,"New Hampshire",5.28804558806188
2020,"New Jersey",8.2404914939978
2020,"New Mexico",7.97166840665959
2020,"New York",8.22736473474554
2020,"North Carolina",6.3196504404005
2020,"North Dakota",3.74276221194575
2020,"Ohio",6.33752313227885
2020,"Oklahoma",5.72322744473738
2020,"Oregon",7.25238781804523
2020,"Pennsylvania",6.80321565519106
2020,"Rhode Island",8.04634394985343
2020,"South Carolina",6.09999498520636
2020,"South Dakota",3.67635420469822
2020,"Tennessee",6.46623555689806
2020,"Texas",6.68398778552978
2020,"Utah",4.24295749391506
2020,"Vermont",5.3437224858241
2020,"Virginia",5.60250262906813
2020,"Washington",6.03528986106622
2020,"West Virginia",7.281389009933
2020,"Wisconsin",3.9024081949557
2020,"Wyoming",4.59960914103437
2007,"Alabama",6.18896400309943
2007,"Alaska",7.90688892909682
2007,"Arizona",5.82398412632797
2007,"Arkansas",7.26539180146046
2007,"California",6.60953300524829
2007,"Colorado",5.36027555637945
2007,"Connecticut",6.17190452156404
2007,"Delaware",5.48582688068792
2007,"District of Columbia",7.41996914990509
2007,"Florida",6.20573749186341
2007,"Georgia",6.97660873575345
2007,"Hawaii",4.38605979158733
2007,"Idaho",5.27049711902087
2007,"Illinois",7.21641112460442
2007,"Indiana",6.47220016081532
2007,"Iowa",4.71395467703332
2007,"Kansas",5.09616625964218
2007,"Kentucky",6.59717975195033
2007,"Louisiana",6.28301321409896
2007,"Maine",5.66950456043822
2007,"Maryland",5.60561403601118
2007,"Massachusetts",6.02729760894408
2007,"Michigan",9.63197363822457
2007,"Minnesota",5.66696296723561
2007,"Mississippi",9.10385919001734
2007,"Missouri",6.35900624894265
2007,"Montana",5.42771618715089
2007,"Nebraska",4.15801911763648
2007,"Nevada",5.52247961183068
2007,"New Hampshire",4.84976271223023
2007,"New Jersey",5.91784829915772
2007,"New Mexico",5.88331951728446
2007,"New York",6.16712741564056
2007,"North Carolina",6.65525570625767
2007,"North Dakota",3.61382396349348
2007,"Ohio",7.14952780852847
2007,"Oklahoma",5.37767169385475
2007,"Oregon",6.53108954749975
2007,"Pennsylvania",5.91348353488828
2007,"Rhode Island",5.95747113908806
2007,"South Carolina",6.73642813483266
2007,"South Dakota",4.49480242716078
2007,"Tennessee",6.84155967387101
2007,"Texas",5.82003884885905
2007,"Utah",3.5539378044043
2007,"Vermont",4.92449479673392
2007,"Virginia",4.7501843459484
2007,"Washington",5.78723838681162
2007,"West Virginia",6.08983108896246
2007,"Wisconsin",5.79714509721761
2007,"Wyoming",3.43878860700729
2008,"Alabama",7.27016812913691
2008,"Alaska",7.30475216984946
2008,"Arizona",6.17136919081124
2008,"Arkansas",6.60733337775763
2008,"California",7.45906623375094
2008,"Colorado",4.76952056141046
2008,"Connecticut",6.36798834912527
2008,"Delaware",6.92325684139401
2008,"District of Columbia",7.23408980414989
2008,"Florida",7.46484511457291
2008,"Georgia",6.96912962321429
2008,"Hawaii",3.88832345087455
2008,"Idaho",5.63061262901151
2008,"Illinois",6.837971441049
2008,"Indiana",7.09542096029459
2008,"Iowa",3.68894233658601
2008,"Kansas",4.22898036380252
2008,"Kentucky",6.65832592490618
2008,"Louisiana",5.9585252983367
2008,"Maine",6.12392206148973
2008,"Maryland",5.29569565541302
2008,"Massachusetts",5.90716796395079
2008,"Michigan",9.42284568821528
2008,"Minnesota",5.06028979223904
2008,"Mississippi",7.62545884600185
2008,"Missouri",6.30271721068374
2008,"Montana",5.06526463427438
2008,"Nebraska",3.84192272150861
2008,"Nevada",7.28949256163194
2008,"New Hampshire",4.59467992843335
2008,"New Jersey",6.05122358907341
2008,"New Mexico",5.79954277463602
2008,"New York",6.19957447621503
2008,"North Carolina",6.6686765048733
2008,"North Dakota",3.42762399230512
2008,"Ohio",7.07887081901109
2008,"Oklahoma",4.57165548335575
2008,"Oregon",6.68831693307873
2008,"Pennsylvania",5.8493095658024
2008,"Rhode Island",7.37616895221155
2008,"South Carolina",7.56183941492266
2008,"South Dakota",3.51309630514889
2008,"Tennessee",6.84175148534216
2008,"Texas",5.19877309522706
2008,"Utah",4.18317892729356
2008,"Vermont",5.18330729948091
2008,"Virginia",4.76218763425122
2008,"Washington",5.31647366284717
2008,"West Virginia",5.17791734876936
2008,"Wisconsin",5.00653678613493
2008,"Wyoming",3.23681401535047
2009,"Alabama",11.0306940321357
2009,"Alaska",9.11242851456941
2009,"Arizona",10.715434282463
2009,"Arkansas",9.1488364625685
2009,"California",11.2089886674636
2009,"Colorado",8.47228119548253
2009,"Connecticut",9.26980298840782
2009,"Delaware",8.8055275385557
2009,"District of Columbia",11.2163962669639
2009,"Florida",11.9833708564421
2009,"Georgia",10.9573535566781
2009,"Hawaii",6.79693337972813
2009,"Idaho",9.73709041114613
2009,"Illinois",10.5805600681134
2009,"Indiana",10.7259783721262
2009,"Iowa",5.84039021540353
2009,"Kansas",6.99471834020891
2009,"Kentucky",10.0097297177709
2009,"Louisiana",8.3699833072718
2009,"Maine",7.24912942604379
2009,"Maryland",7.92708000038015
2009,"Massachusetts",9.03961933234669
2009,"Michigan",14.8713266136443
2009,"Minnesota",7.97118195579076
2009,"Mississippi",10.3806835610297
2009,"Missouri",9.01618121505465
2009,"Montana",7.35227484479664
2009,"Nebraska",5.75292911835045
2009,"Nevada",11.9530987888798
2009,"New Hampshire",8.01732521274381
2009,"New Jersey",9.73857884475266
2009,"New Mexico",9.26702041922679
2009,"New York",9.0586345183145
2009,"North Carolina",10.7730021731237
2009,"North Dakota",3.89567214700193
2009,"Ohio",11.0904265126412
2009,"Oklahoma",6.63774089742199
2009,"Oregon",11.3769674392894
2009,"Pennsylvania",9.10188252620542
2009,"Rhode Island",9.26949101558313
2009,"South Carolina",11.6430968439804
2009,"South Dakota",5.14829092307551
2009,"Tennessee",10.7725780591509
2009,"Texas",8.22211311782058
2009,"Utah",8.13772885795261
2009,"Vermont",6.69980780394876
2009,"Virginia",7.09969024771597
2009,"Washington",9.46339972957962
2009,"West Virginia",8.0693694258002
2009,"Wisconsin",7.99085387273343
2009,"Wyoming",5.60051015856548
2010,"Alabama",11.6365261765966
2010,"Alaska",8.93749697014541
2010,"Arizona",11.7830776001464
2010,"Arkansas",9.77845059939735
2010,"California",12.6897817705757
2010,"Colorado",9.90613204966906
2010,"Connecticut",10.5513655362584
2010,"Delaware",9.3650814440326
2010,"District of Columbia",12.8785922878764
2010,"Florida",13.1937098067508
2010,"Georgia",12.4788562586408
2010,"Hawaii",7.60754184964027
2010,"Idaho",9.63707664320594
2010,"Illinois",11.3427481419736
2010,"Indiana",10.7937431303331
2010,"Iowa",7.07555920703912
2010,"Kansas",7.49764600586253
2010,"Kentucky",11.1465269151538
2010,"Louisiana",9.79299862209563
2010,"Maine",7.87719519464441
2010,"Maryland",8.85436458166307
2010,"Massachusetts",10.2613936579454
2010,"Michigan",14.8660480528274
2010,"Minnesota",8.01083847925351
2010,"Mississippi",12.2275921919863
2010,"Missouri",9.8950202042504
2010,"Montana",7.27313132573336
2010,"Nebraska",6.68481208544601
2010,"Nevada",14.127742852317
2010,"New Hampshire",7.73125767908017
2010,"New Jersey",10.7637793114804
2010,"New Mexico",9.51689883817907
2010,"New York",9.84380836840177
2010,"North Carolina",12.3459417489287
2010,"North Dakota",3.29393073270891
2010,"Ohio",11.4261996526754
2010,"Oklahoma",7.99939422790384
2010,"Oregon",12.6281241386236
2010,"Pennsylvania",9.67920913569923
2010,"Rhode Island",10.7760350931756
2010,"South Carolina",12.8155839191527
2010,"South Dakota",6.53157232300677
2010,"Tennessee",11.2932356954443
2010,"Texas",8.78687203897444
2010,"Utah",9.24146251786096
2010,"Vermont",8.54466989531468
2010,"Virginia",7.63136685763063
2010,"Washington",10.4983187960527
2010,"West Virginia",8.80532663865088
2010,"Wisconsin",8.73566275711256
