"state","year","total","heroin_synthetic","prescription","avg_age","bachelors_pct","median_income","PDMP","unemp_rate","white_pct","personal_health_care"
"Oklahoma",2007,13.7576220665654,1.95358233345229,8.14451226340673,36.6162582975886,15.2304360470581,56.609,1,5.37767169385475,75.2491349940121,6.039
"Oklahoma",2006,10.9624411186142,1.53029000386746,6.14898347008561,36.893398602821,14.8765147188823,52.317,1,5.74712643678161,75.1006646155634,5.688
"Oklahoma",2005,8.98946823209285,1.60626861827364,5.07242721560098,36.8377439595752,15.5532374297881,52.354,1,6.56724197710703,75.7418860900986,5.366
"Oklahoma",2004,9.21924877022313,1.53181364182169,4.62380784475806,36.621852985257,15.258182252985,56.959,1,7.04971121105693,75.3333770978389,4.961
"Oklahoma",2003,7.47526599963708,1.42657748084677,4.19413779368951,36.2164997347499,14.6128673095866,53.016,1,7.15825435711637,76.1089721661072,4.755
"Oklahoma",2002,4.35644926456258,0.859825512742614,2.57947653822784,36.2908509061211,13.9449891478511,55.06,1,6.47198077301009,76.5363077246291,4.358
"Oklahoma",2001,4.90323324968994,0.865276455827637,3.02846759539673,36.2130189445762,13.7449741013126,54.625,1,4.94463909608597,75.9455261286988,4.093
"Oklahoma",2000,3.9412818555555,1.13022053210783,2.20248103692807,36.1413128261665,13.9813758992752,51.168,1,6.20316490708074,74.884665200325,3.754
"Oregon",2020,12.0476047782074,9.9964470175341,3.84297373551429,40.442324923484,27.1476942742713,80.443,1,7.25238781804523,76.2127038566215,10.071
"Oregon",2019,8.01377610789862,5.57170824069874,3.31931554765032,40.2219429518721,25.2319193918445,78.86,1,4.89558183249448,83.3050519745541,9.635
"Oregon",2018,8.37566304349642,5.51218849871132,4.03272665057235,39.9792457751223,25.0539228050215,74.626,1,4.65924624829948,83.7588973523121,9.168
"Oregon",2017,8.52085654643167,5.02078799336484,3.81386780265213,39.7019471967589,24.3633495993991,69.077,1,5.11119138969366,84.6641237662862,8.827
"Oregon",2016,7.91505484962006,3.90866906154077,3.66437724519447,39.6418242247094,23.6253882713056,66.765,1,5.79575638640316,84.3184685834617,8.699
"Oregon",2015,8.4388667396215,3.4003668921416,4.29389395868976,39.540092931779,23.2600235742224,69.569,1,7.01581792691809,85.1189272115477,8.438
"Oregon",2014,8.74002799327698,4.02998408911907,3.9040470863341,39.338565763925,21.7900484076651,67.445,1,7.61975950733081,84.7369641978732,7.899
"Oregon",2013,7.88791025084827,3.38416794633168,3.58772692054712,39.1267765291414,21.5762080270937,57.082,1,9.21459426925802,85.7763930113115,7.378
"Oregon",2012,9.43746308682492,4.1288901004859,4.18018066074038,38.9055068879376,21.4034738583555,61.21,1,11.0985133503232,85.3791385391371,7.159
"Oregon",2011,10.3826094906865,4.18403666042591,4.5714474623172,38.6403195467604,20.6955883465798,62.205,1,11.9412958319796,84.9077665276551,6.987
"Oregon",2010,8.79648892190545,2.84515517058663,3.96755583421255,38.4427371809583,20.3756905847083,63.016,0,12.6281241386236,85.3127034243937,6.75
"Oregon",2009,10.0299322585727,4.01722417686289,3.93845507535577,38.0481590482367,20.388628672147,62.151,0,11.3769674392894,85.4594387317002,6.502
"Oregon",2008,9.23383574598249,3.07794524866083,3.58209145318286,37.9156480372342,19.8053592819111,65.252,0,6.68831693307873,86.8220028178973,6.232
"Oregon",2007,9.72486424814845,3.46549029837334,3.19684763958471,37.8808914316516,20.0797874824381,65.805,0,6.53108954749975,85.8481022453905,6.003
"Oregon",2006,10.7875952461574,2.99655423504372,4.44034854829206,37.7099569871902,19.2298442643372,63.435,0,6.2934520574307,86.1042251344184,5.76
"Oregon",2005,8.80105789822988,2.79530455258245,3.34883020655917,37.3637035576741,19.0590526835466,61.413,0,7.35707437145205,86.7804461878132,5.395
"Oregon",2004,7.67622468701875,2.94161894940499,2.43734141522128,37.252239978279,19.2000419817676,58.943,0,7.98396481017707,87.6247902337632,5.023
"Oregon",2003,7.4421205984367,2.64984597065549,2.67803582140715,37.1246004613006,17.9870530828191,61.486,0,8.17087623118431,87.8674107713627,4.675
