"State","Year","Overdose_Rate","heroin_rate","other_rate"
"Louisiana",2004,3.47082028663703,0.307541038056446,1.82327901133464
"Louisiana",2003,2.89756211068156,0.309663126332381,1.63679081061401
"Louisiana",2002,2.33475130562628,0.222357267202503,1.44532223681627
"Louisiana",2001,1.94288585545599,0.290316277252045,1.42924936493314
"Louisiana",2000,1.18595400825603,0.290316277252045,0.962189101037911
"Maine",2020,31.7744591120483,27.7748768461961,5.92530706052183
"Maine",2019,24.1777338693599,21.5739779141981,3.86843741909758
"Maine",2018,21.4434505575297,18.2306687666803,4.40823548046778
"Maine",2017,27.2474056951569,22.6812195759136,5.76387428166781
"Maine",2016,22.9819621638794,16.598083785024,10.2142054061686
"Maine",2015,18.5055907947474,11.8104786779486,8.42530963012891
"Maine",2014,13.0818313661717,6.766464499744,6.69128156085796
"Maine",2013,10.0880673220397,3.16193154869902,5.57102225246969
"Maine",2012,8.05000331028173,2.18177659811374,5.19112362999476
"Maine",2011,7.1526018906962,1.6563920167928,3.9903989495463
"Maine",2010,6.85054740390602,1.65617629544981,4.14044073862452
"Maine",2009,8.95012748290826,1.50422310637114,6.39294820207733
"Maine",2008,8.1171942467131,1.65350253173785,3.75796029940421
"Maine",2007,8.1384133108271,0.904268145647456,4.8227634434531
"Maine",2006,7.32839283812034,0.86918398308217,3.77752208150533
"Maine",2005,9.4025797949176,0.834099820516884,4.09467184617379
"Maine",2004,7.99276540548441,0.914557397746129,3.12098458690344
"Maine",2003,7.04164443828726,0.995014974975374,3.44428260568398
"Maine",2002,7.71628753973888,1.31176888175561,3.24084076669033
"Maine",2001,4.74452668290695,0.777791259492942,2.95560678607318
"Maine",2000,3.29431659794356,0.777791259492942,1.41184997054724
"Maryland",2020,42.0918649585967,39.1195088610889,7.99233528440989
"Maryland",2019,35.463339111564,32.4198435907954,8.86583477789099
"Maryland",2018,35.1331966840088,31.3600601583592,9.38319478089164
"Maryland",2017,33.2442359170923,28.1221120928882,10.9712587718436
"Maryland",2016,30.6991817596,23.0534732542313,13.5295798334133
"Maryland",2015,18.3137955657639,11.171415295116,8.6574306310884
"Maryland",2014,15.5946541124124,8.48335797746037,7.91445428666421
"Maryland",2013,12.8018858409119,5.07690070897822,7.23584851877627
"Maryland",2012,11.3347414242995,3.84055706430537,6.54254190158216
"Maryland",2011,9.64262410460428,2.76238875594536,5.42183134707287
"Maryland",2010,9.04122799967853,2.52877258228557,4.97094336380793
"Maryland",2009,10.3657902396836,3.64722249174052,5.77622318069911
"Maryland",2008,9.37560741359006,2.53299712487236,5.10117476536795
"Maryland",2007,10.9668362870679,2.95397041925861,5.66030259977698
"Maryland",2006,10.3778552207453,2.91432920582574,5.84642871168701
"Maryland",2005,9.06590915959022,1.82391071849744,5.48961363312465
"Maryland",2004,8.88779118558267,1.6405456346613,6.29176292853621
"Maryland",2003,10.3342831291554,0.727766417546157,8.86055613362446
"Maryland",2002,10.3117626331499,0.661717388223526,9.1905192808823
"Maryland",2001,9.30286038769485,0.186057207753897,8.72608304365777
"Maryland",2000,9.38357998114221,0.245445754033901,8.85492758783843
"Massachusetts",2020,30.5211781290808,28.7224014712833,4.3953978009085
"Massachusetts",2019,28.9590008158139,27.5081490715347,4.14943598863867
"Massachusetts",2018,29.121364954596,27.0205699703092,5.34616102897808
"Massachusetts",2017,28.2806295618004,25.6566536230766,6.77860450836968
"Massachusetts",2016,29.7279168921951,25.9550405261239,9.23400480256332
"Massachusetts",2015,23.298523406406,18.8684188294457,10.243696962008
"Massachusetts",2014,17.2117090619278,11.6523715096255,9.35451198800725
"Massachusetts",2013,13.5966521755241,5.64784013444848,8.93494285820156
"Massachusetts",2012,10.7129788340427,4.75463667353581,6.48496331105676
"Massachusetts",2011,10.1555422239818,3.12711763548617,7.11950568467482
"Massachusetts",2010,8.81235024159127,2.18399668032505,6.10908162328684
"Massachusetts",2009,9.75817373630499,1.96390917963371,7.05779861430864
"Massachusetts",2008,9.46055220253867,1.7622597240023,7.09541415190401
"Massachusetts",2007,10.261897620779,2.22341115116879,7.09003835617461
"Massachusetts",2006,10.4522811245531,1.93445202902177,7.16059259129834
"Massachusetts",2005,9.04222673032144,0.905784370222183,7.01202038327172
"Massachusetts",2004,7.28289979805938,0.748563576674197,5.83255786825312
"Massachusetts",2003,9.26421141708959,0.762935057877966,8.03417326255164
"Massachusetts",2002,7.6513049448623,0.576574914378625,6.79423412619137
"Massachusetts",2001,8.11237404327913,0.500184912109696,7.28394278259744
"Massachusetts",2000,5.02433653163592,0.393756781476169,4.56757866512356
"Michigan",2020,22.3547655132591,19.886510434147,4.28432893813359
"Michigan",2019,18.1538596176955,15.4503063376195,3.97522463774138
"Michigan",2018,20.4383490655933,16.9269146446323,5.00204333470223
"Michigan",2017,20.8184627040854,16.6628004285351,5.8520558131542
"Michigan",2016,18.0796309539397,13.2046775379471,6.43614717524652
"Michigan",2015,13.4239334624396,9.25162981870837,4.42425434685509
"Michigan",2014,10.857854239765,6.70038588773604,3.86483101657064
"Michigan",2013,9.43851735646329,5.08305592109319,3.64807790758378
"Michigan",2012,7.08261158148646,3.38953554256852,3.24788331093879
"Michigan",2011,7.65477607906776,3.63500610103879,3.13886320702514
"Michigan",2010,7.33535418125306,3.06567216126852,3.30849767899276
"Michigan",2009,7.54424213240074,3.45399037387022,2.82782837626802
"Michigan",2008,6.59502684708757,2.91548442935274,2.76468351059311
"Michigan",2007,5.22932855421364,1.84976249049622,2.18971884010093
"Michigan",2006,6.38695522684602,3.36784846595001,2.16219857133477
