"Year","State","WHITE_PCT"
2017,"New Jersey",67.9079697132154
2018,"New Jersey",66.7902749278219
2019,"New Jersey",67.1369673470169
2020,"New Jersey",56.6594961251895
2011,"New Mexico",71.8089408248104
2012,"New Mexico",72.3904335476026
2013,"New Mexico",75.0395509107379
2014,"New Mexico",72.5554428233597
2015,"New Mexico",73.4442180240937
2016,"New Mexico",73.3069199405098
2017,"New Mexico",75.9815523425939
2018,"New Mexico",76.3101380720311
2019,"New Mexico",73.7847006122102
2020,"New Mexico",49.226715311745
2011,"New York",65.2662492961155
2012,"New York",65.3407330643163
2013,"New York",64.6329139290586
2014,"New York",64.0850325482433
2015,"New York",63.8662026690421
2016,"New York",63.4691647207595
2017,"New York",63.1416951213485
2018,"New York",63.2694952755853
2019,"New York",63.3148450301721
2020,"New York",56.3807508288709
2011,"North Carolina",70.0813791805042
2012,"North Carolina",69.9545112100781
2013,"North Carolina",69.1793409057215
2014,"North Carolina",69.0729572230953
2015,"North Carolina",68.9540130334144
2016,"North Carolina",68.889485027183
2017,"North Carolina",68.8176351027832
2018,"North Carolina",68.2214198901732
2019,"North Carolina",68.0971090620556
2020,"North Carolina",63.5081629072215
2011,"North Dakota",89.7684272705474
2012,"North Dakota",89.4994196916075
2013,"North Dakota",88.7860402298612
2014,"North Dakota",88.6755864240103
2015,"North Dakota",88.3324437727234
2016,"North Dakota",86.8431156021548
2017,"North Dakota",86.7176423398152
2018,"North Dakota",85.7870978861352
2019,"North Dakota",85.8809388212508
2020,"North Dakota",82.9212035492975
2011,"Ohio",82.8505292053643
2012,"Ohio",82.6154116019049
2013,"Ohio",82.4774639765866
2014,"Ohio",82.0906347443968
2015,"Ohio",81.9735060024938
2016,"Ohio",81.6098380859647
2017,"Ohio",81.2962078066088
2018,"Ohio",81.0173317083912
2019,"Ohio",80.9119778254956
2020,"Ohio",78.080173630107
2011,"Oklahoma",73.4860113706736
2012,"Oklahoma",73.4492059913705
2013,"Oklahoma",73.2476870944754
2014,"Oklahoma",72.914126193802
2015,"Oklahoma",72.6092196583369
2016,"Oklahoma",72.3812883245603
2017,"Oklahoma",72.1257972801908
2018,"Oklahoma",71.9001318512766
2019,"Oklahoma",72.3315384419042
2020,"Oklahoma",67.0282621888025
2011,"Oregon",84.9077665276551
2012,"Oregon",85.3791385391371
2013,"Oregon",85.7763930113115
2014,"Oregon",84.7369641978732
2015,"Oregon",85.1189272115477
2016,"Oregon",84.3184685834617
2017,"Oregon",84.6641237662862
2018,"Oregon",83.7588973523121
2019,"Oregon",83.3050519745541
2020,"Oregon",76.2127038566215
2011,"Pennsylvania",82.32914427705
2012,"Pennsylvania",82.0778897007851
2013,"Pennsylvania",81.5861700053101
2014,"Pennsylvania",81.4281208667192
2015,"Pennsylvania",81.1455228715822
2016,"Pennsylvania",80.8559093952259
2017,"Pennsylvania",80.696077017309
2018,"Pennsylvania",80.0941277701518
2019,"Pennsylvania",79.6497091194189
2020,"Pennsylvania",75.7669453618819
2011,"Rhode Island",81.7513901809375
2012,"Rhode Island",81.4713432074128
2013,"Rhode Island",80.1473308410468
2014,"Rhode Island",81.2477195682604
2015,"Rhode Island",80.6535655657778
2016,"Rhode Island",81.0303797899711
2017,"Rhode Island",81.5451299923842
2018,"Rhode Island",80.9142970637889
2019,"Rhode Island",78.4683408205512
2020,"Rhode Island",72.1897216266042
2011,"South Carolina",66.9755280249101
2012,"South Carolina",66.8511256904776
2013,"South Carolina",67.2814099072241
2014,"South Carolina",67.3159672400228
2015,"South Carolina",67.1484265379341
2016,"South Carolina",67.3243072782572
2017,"South Carolina",67.2793936910287
2018,"South Carolina",67.0729901121667
2019,"South Carolina",66.6559261205808
2020,"South Carolina",64.1780361194245
2011,"South Dakota",85.8423069548904
2012,"South Dakota",85.3568831492979
2013,"South Dakota",85.0290634021284
2014,"South Dakota",84.8294898467489
2015,"South Dakota",84.3223226464788
2016,"South Dakota",84.8775324858398
2017,"South Dakota",84.99044460747
2018,"South Dakota",83.8851326460637
2019,"South Dakota",84.3623362222054
2020,"South Dakota",79.7505304627714
2011,"Tennessee",77.8171217485589
2012,"Tennessee",78.1342337951034
2013,"Tennessee",77.9848084460877
2014,"Tennessee",77.6570262218308
2015,"Tennessee",77.729524071561
2016,"Tennessee",77.9597317413986
2017,"Tennessee",77.7403281484887
2018,"Tennessee",77.359029011774
2019,"Tennessee",77.1788066902381
2020,"Tennessee",73.6398999444667
2011,"Texas",74.5819354094409
2012,"Texas",75.0572379362485
2013,"Texas",75.0442950866246
2014,"Texas",75.200402805094
2015,"Texas",74.9801395123265
2016,"Texas",74.3514997669277
2017,"Texas",74.0012364069779
2018,"Texas",73.4550061154605
2019,"Texas",73.3357403418782
2020,"Texas",51.3464093247457
2011,"Utah",88.3285733250699
2012,"Utah",87.8885029771088
2013,"Utah",87.1692718603234
2014,"Utah",87.332197946109
2015,"Utah",87.0687425127315
2016,"Utah",86.5122998462581
2017,"Utah",85.7437521620281
2018,"Utah",85.8509287100555
2019,"Utah",87.4596298516699
2020,"Utah",80.2886618020367
2011,"Vermont",95.1056062040352
2012,"Vermont",95.1240473410212
2013,"Vermont",94.9767805563092
2014,"Vermont",94.1937110772757
2015,"Vermont",94.5562757770246
2016,"Vermont",94.1863034227034
2017,"Vermont",94.214448005875
2018,"Vermont",94.1572635434513
2019,"Vermont",93.6718435741656
2020,"Vermont",90.6888797055347
2011,"Virginia",69.3751726032297
2012,"Virginia",69.1557412305868
2013,"Virginia",69.2823899070324
2014,"Virginia",68.93529638474
2015,"Virginia",68.2434662655689
2016,"Virginia",67.9560446458122
2017,"Virginia",67.3830876432405
2018,"Virginia",67.4464834048219
2019,"Virginia",66.9753063639129
2020,"Virginia",61.5938376694254
2011,"Washington",78.5254489067264
2012,"Washington",78.5321237660599
2013,"Washington",77.9088895410768
2014,"Washington",77.5375874633401
2015,"Washington",76.9131106691988
2016,"Washington",75.6758644346872
2017,"Washington",75.3415153617942
2018,"Washington",74.6789203394929
2019,"Washington",74.3165399697671
2020,"Washington",67.8989366919423
